country;trip.no;haul.no;vessel.length;set.date;haul.date;set.time.start;set.time.end;soak;haul.time.start;haul.time.end;haul.lat.start;haul.lon.start;haul.lat.end;haul.lon.end;perc.haul.obs;view.lines;LL.config;target;bait.type;bait.cond;num.hooks.shot;num.hooks.lost;IMR.qual;LL.length;mitig.set;mitig.haul;depth;sea.state;wind;cloud;LL.material;LL.diam;snood.length;hook.size;hook.type;dist.snood.hook;float.type;float.interv;tot.catch.weight;tot.catch.num;LL.set.type;BSL.length;comments.set;attach.pos.set;LL.haul.type;comments.haul;attach.pos.haul;fulmar;gannet;skua;gbb.gull;kittiwake;g.gull;h.gull;lbb.gull;unid.gull;m.shearwater;e.shag;smthg.else;division;bycatch_tot;bycatch_binary;daysAtSeaOb;effort_metric;length.cat;set_date_parsed;haul_date_parsed;date_parsed;month;year;quarter
GR;GR_2021_ 2;2;6.5;9.9.2021;10.9.2021;11:30:00;;21.433;08:56:00;;69.19;-51.09;;;100;Y;demersal;Greenland halibut;polar cod;;550;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;1;;;;;;;21.1.A;1;1;1;FiD;<12m;2021-09-09T00:00:00Z;2021-09-10T00:00:00Z;2021-09-09T00:00:00Z;9;2021;Q3
GR;GR_2021_ 22;22;6.5;19.10.2021;20.10.2021;17:00:00;;16.517;09:31:00;;70.49;-51.83;;;100;Y;demersal;Greenland halibut;polar cod;;1500;;;;N;N;700;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-10-19T00:00:00Z;2021-10-20T00:00:00Z;2021-10-19T00:00:00Z;10;2021;Q4
GR;GR_2021_ 23;23;6.5;22.10.2021;24.10.2021;14:00:00;;19.033;09:02:00;;70.45;-51.63;;;100;Y;demersal;Greenland halibut;polar cod;;2000;;;;N;N;800;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-10-22T00:00:00Z;2021-10-24T00:00:00Z;2021-10-22T00:00:00Z;10;2021;Q4
GR;GR_2021_ 24;24;6.5;25.10.2021;26.10.2021;14:00:00;;18.8;08:48:00;;70.45;-51.63;;;100;Y;demersal;Greenland halibut;polar cod;;1500;;;;N;N;800;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-10-25T00:00:00Z;2021-10-26T00:00:00Z;2021-10-25T00:00:00Z;10;2021;Q4
GR;GR_2021_ 25;25;6.5;6.11.2021;7.11.2021;15:00:00;;17.5;08:30:00;;69.13;-50.61;;;100;Y;demersal;Greenland halibut;polar cod;;900;;;;N;N;900;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1;0;0;1;FiD;<12m;2021-11-06T00:00:00Z;2021-11-07T00:00:00Z;2021-11-06T00:00:00Z;11;2021;Q4
GR;GR_2021_ 26;26;6.5;9.11.2021;9.11.2021;10:30:00;;3.917;14:25:00;;69.19;-50.65;;;100;Y;demersal;Greenland halibut;capelin;;750;;;;N;N;600;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-11-09T00:00:00Z;2021-11-09T00:00:00Z;2021-11-09T00:00:00Z;11;2021;Q4
GR;GR_2021_ 27;27;6.5;9.11.2021;10.11.2021;19:44:00;;13.15;08:53:00;;69.19;-50.63;;;100;Y;demersal;Greenland halibut;capelin;;400;;;;N;N;600;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-11-09T00:00:00Z;2021-11-10T00:00:00Z;2021-11-09T00:00:00Z;11;2021;Q4
GR;GR_2021_ 3;3;6.5;10.9.2021;11.9.2021;18:30:00;;15;09:30:00;;69.19;-51.1;;;100;Y;demersal;Greenland halibut;polar cod;;400;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-10T00:00:00Z;2021-09-11T00:00:00Z;2021-09-10T00:00:00Z;9;2021;Q3
GR;GR_2021_ 4;4;6.5;13.9.2021;13.9.2021;10:46:00;;4.65;15:25:00;;69.27;-51.26;;;100;Y;demersal;Greenland halibut;polar cod;;1300;;;;N;N;370;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-13T00:00:00Z;2021-09-13T00:00:00Z;2021-09-13T00:00:00Z;9;2021;Q3
GR;GR_2021_ 5;5;6.5;14.9.2021;15.9.2021;16:00:00;;16.25;08:15:00;;69.19;-51.05;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;200;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1;0;0;1;FiD;<12m;2021-09-14T00:00:00Z;2021-09-15T00:00:00Z;2021-09-14T00:00:00Z;9;2021;Q3
